uid,version,age,savvy,qpm.direct,qpm.indirect,qpm.timing,visited.direct,visited.indirect,visited.timing
165,2,1,0.875,127878.41945289,54631.86599143,126532.33082707,7,7,12
166,2,0.66666666666667,0.875,82268.28314431,50676.945314382,60596.284027078,27,27,27
167,2,1,0.665,503856.28742515,234253.89755011,431507.69230769,7,7,7
168,2,1,0.25,150795.69892473,103498.15498155,85599.186164802,74,74,74
169,2,1,1,216419.75308642,113493.39088211,186159.2920354,12,12,12
170,2,1,0.25,NA,NA,NA,NA,NA,NA
171,2,1,0.415,271958.62960569,89839.846252402,195592.74755927,17,17,18
172,2,0.66666666666667,0.415,519407.40740741,295242.10526316,504460.43165468,10,10,10
173,2,1,0.54,235433.68774482,115900.82644628,200725.19083969,9,9,9
174,2,0.66666666666667,0.415,NA,NA,NA,NA,NA,NA
175,2,1,0.25,NA,NA,NA,NA,NA,NA
176,2,1,0.25,NA,NA,NA,NA,NA,NA
177,2,0.66666666666667,0,547812.5,261967.62141968,419461.61515454,15,15,15
178,2,0.66666666666667,0.375,306690.96209913,73911.821535219,NA,10,10,NA
179,2,1,1,NA,NA,NA,NA,NA,NA
180,2,0.66666666666667,0.125,496717.82762692,341493.50649351,495547.70318021,16,16,16
181,2,0.33333333333333,0.125,247517.64705882,101760.58041112,223819.14893617,19,19,22
182,2,1,0.375,151523.22650342,65521.644347555,126436.29807692,38,38,43
183,2,1,0.25,396158.1920904,196966.29213483,243190.75144509,53,53,53
184,2,1,0.54,NA,NA,299019.18976546,NA,NA,7010
185,2,0.33333333333333,0.25,266954.31472081,118445.94594595,215092.02453988,16,16,16
186,2,1,0.25,25713.237990466,22926.271047899,24821.238938053,60,60,68
187,2,0.66666666666667,0.415,NA,NA,NA,NA,NA,NA
188,2,0.66666666666667,0.5,440083.68200837,253904.64695232,345986.84210526,15,15,15
189,2,0.66666666666667,0.25,35147.869674185,20207.492795389,32160.220149824,18,18,19
190,2,0.66666666666667,0.25,NA,NA,NA,NA,NA,NA
191,2,1,0.5,88479.495268139,45895.058361514,60171.624713959,42,42,42
192,2,1,0.375,NA,NA,NA,NA,NA,NA
193,2,1,0.665,307587.71929825,147280.3640182,252569.02761104,1,1,3
194,2,0.66666666666667,0.415,369052.63157895,165964.49704142,219467.91862285,53,53,41
195,2,1,0.25,551402.35910878,306423.88929352,468507.79510022,10,10,10
196,2,0.66666666666667,0.415,96517.549896765,66622.327790974,93659.839715049,50,50,50
197,2,0.66666666666667,0.25,76408.207735609,65237.209302326,81122.035858878,6,6,251
198,2,0.66666666666667,0.54,265271.1223203,168963.85542169,250279.59547888,0,0,0
199,2,0.66666666666667,0.5,NA,NA,NA,NA,NA,NA
200,2,0.66666666666667,1,398786.72985782,197521.12676056,297960.33994334,20,20,20
201,2,0.33333333333333,0.25,56869.424168694,31692.655367232,51126.503827926,4,4,4
202,2,1,0.29,53275.927567431,37651.691426526,53731.800766284,26,26,26
203,2,1,0.415,265773.84712571,163831.77570093,202172.0326766,37,37,37
204,2,0.66666666666667,0.25,527879.54830615,281042.08416834,484142.69275029,1,1,1
205,2,1,0.25,324926.64092664,116237.56906077,272702.52754375,4,4,92
206,2,1,0.665,NA,NA,NA,NA,NA,NA
207,2,0.66666666666667,0.375,278438.12045003,137310.70496084,245460.91015169,9,9,9
208,2,1,0.375,492070.1754386,227662.33766234,254827.37734706,23,23,31
209,2,1,0.375,305355.58780842,126893.84800965,NA,3,3,NA
210,2,1,0.25,513699.63369963,279734.04255319,432839.50617284,11,11,11
211,2,0.66666666666667,0.25,NA,NA,NA,NA,NA,NA
212,2,1,0.25,NA,NA,502052.50596659,NA,NA,777
213,2,1,0.875,433731.95876289,250130.79667063,324880.30888031,31,31,31
214,2,1,0.54,NA,NA,NA,NA,NA,NA
215,2,1,0.25,476466.59116648,239726.4957265,444266.10348469,0,0,0
216,2,1,0.54,NA,NA,NA,NA,NA,NA
217,2,1,0.125,433731.95876289,211310.89904571,382820.74613285,5,5,5
218,2,1,0.375,109819.89036805,51145.149525894,91480.756686236,17,17,17
219,2,0.66666666666667,0.375,183961.52164408,112884.357392,142907.60869565,58,58,58
220,2,1,0.415,220734.52256034,109221.18380062,184283.8370565,3,3,3
221,2,1,0.375,361805.6749785,149797.08081168,271121.13402062,2,2,5
222,2,0.66666666666667,0.5,209730.80757727,91381.407471764,168896.02569249,15,15,15
223,2,0.33333333333333,0.25,176132.27291754,59423.8101963,156831.90458442,10,10,157
224,2,1,0.875,NA,NA,NA,NA,NA,NA
225,2,0.66666666666667,0.415,NA,NA,NA,NA,NA,NA
226,2,1,0.5,213563.45177665,108713.17829457,167818.10929398,28,28,28
227,2,1,0.25,408069.83511154,180721.64948454,232956.81063123,36,36,36
228,2,0.66666666666667,0,178195.6797967,98184.364060677,176328.58340319,0,0,0
229,2,0.66666666666667,0.25,637454.54545455,338471.44006436,577912.08791209,1,1,1
230,2,0.66666666666667,0.25,364627.3830156,147383.53765324,306467.58922068,12,12,79
231,2,1,0.54,239589.97722096,117486.73554873,209209.34858279,9,9,9
232,2,1,0.375,82916.830902641,54223.482407527,76633.879781421,32,32,32
233,2,1,0.54,559468.08510638,365843.47826087,295864.97890295,105,105,105
234,2,1,0.25,364259.74025974,195683.72093023,299871.70349252,8,8,8
235,2,1,0.375,NA,NA,NA,NA,NA,NA
236,2,0.66666666666667,1,NA,NA,NA,NA,NA,NA
237,2,1,0.5,55555.26211541,29745.475113122,48626.907073509,7,7,7
238,2,1,0.375,102315.17509728,61222.351571595,91740.078499782,0,0,0
239,2,1,0.375,NA,NA,NA,NA,NA,NA
240,2,1,0.375,NA,NA,NA,NA,NA,NA
241,2,0.33333333333333,0.25,138394.73684211,96539.697108765,134029.94584263,0,0,0
242,2,1,0.25,NA,NA,NA,NA,NA,NA
243,2,0.66666666666667,0.54,NA,NA,377327.35426009,NA,NA,5957
244,2,0.66666666666667,0.375,447574.46808511,221198.73817035,395785.51269991,2,2,2
245,2,1,0.25,287573.47915243,115837.00440529,253445.78313253,3,3,3
246,2,1,0.375,431065.57377049,228403.90879479,364575.38994801,14,14,14
247,2,0.66666666666667,0.415,30135.357731147,16324.487895717,21526.576968333,5,5,48
248,2,1,0.415,NA,NA,NA,NA,NA,NA
249,2,0.66666666666667,0.5,362065.40447504,205731.05134474,344006.54129191,2,2,2
250,2,1,0.54,219125,96473.285943591,183720.52401747,1,1,1
251,2,1,0.665,NA,NA,NA,NA,NA,NA
252,2,1,0.415,NA,NA,NA,NA,NA,NA
253,2,1,0.54,190457.22046175,134975.93840231,161628.8897426,74,74,74
254,2,1,0.375,114825.32751092,56238.470792675,102966.22613803,19,19,25
255,2,1,0.25,NA,NA,NA,NA,NA,NA
256,2,1,0.665,NA,NA,NA,NA,NA,NA
257,2,0.33333333333333,0.375,197734.96240602,69366.963402572,138051.18110236,6,6,164
258,2,1,0.415,NA,NA,NA,NA,NA,NA
259,2,0.33333333333333,0.25,489848.66123399,184552.63157895,374359.43060498,3,3,64
260,2,1,0.375,719179.48717949,254057.97101449,625141.1589896,4,4,4
261,2,1,0.415,385981.65137615,193523.45906164,328944.48788116,3,3,3
262,2,0.66666666666667,0.375,NA,NA,NA,NA,NA,NA
263,2,0.66666666666667,0.375,NA,NA,NA,NA,NA,NA
264,2,0.33333333333333,0.25,188690.58295964,62300.85875037,130312.79033757,9,9,187
265,2,1,0.29,279588.03986711,101441.65863067,213919.67463142,19,19,22
266,2,1,0.25,447574.46808511,249833.72921615,410859.375,1,1,1
267,2,1,0.54,222838.98305085,124768.68327402,176698.86602268,34,34,34
268,2,1,0.25,NA,NA,NA,NA,NA,NA
269,2,1,0.665,146796.92951849,82656.188605108,133265.75863161,53,53,53
270,2,1,0.415,404538.46153846,225829.30756844,363630.07778738,3,3,3
271,2,0.33333333333333,0.375,NA,NA,NA,NA,NA,NA
272,2,1,0.415,NA,NA,NA,NA,NA,NA
273,2,0.33333333333333,0.125,53391.701560716,18903.81418752,37990.249187432,3,3,9
274,2,0.33333333333333,0.54,135604.25394779,52538.394306405,NA,6,6,NA
275,2,0.66666666666667,0.125,NA,NA,NA,NA,NA,NA
276,2,0.33333333333333,0.25,278293.65079365,105221.30532633,216117.10323575,6,6,100
277,2,1,0.25,493223.91559203,299019.18976546,469553.57142857,2,2,2
278,2,0.66666666666667,0.25,224863.70924639,246179.05207724,282552.0483546,38,38,38
279,2,1,0.415,NA,NA,NA,NA,NA,NA
280,2,0.33333333333333,0.875,285661.91446029,93569.046030687,240034.22703936,3,3,11
281,2,0.33333333333333,0.25,278293.65079365,133031.9317104,231324.90379329,2,2,5
282,2,0.66666666666667,0.415,357198.6417657,133750.79465989,254401.45102781,17,17,98
283,2,1,0.25,403374.8801534,190629.81422746,281606.42570281,29,29,30
284,2,1,0.54,451901.18152524,228156.18221258,316807.22891566,36,36,36
285,2,1,0.375,NA,NA,NA,NA,NA,NA
286,2,0.33333333333333,0.375,313970.14925373,143053.38320299,255446.26593807,7,7,7
287,2,0.33333333333333,0.415,47538.983050847,32197.137828117,51451.632628103,3,3,6
288,2,1,1,431507.69230769,189002.69541779,356240.47417443,3,3,4
289,2,0.66666666666667,0.415,42259.716782163,67486.768243785,120188.51756641,5,5,13
290,2,0.33333333333333,0.54,65522.504282822,53438.333545027,63342.366757001,10,10,11
291,2,0.33333333333333,0.665,361754.08426483,185830.38869258,326139.53488372,2,2,2
292,2,1,0.54,109635.22668056,40320.045994634,89603.918228279,10,10,6737
293,2,1,1,NA,NA,NA,NA,NA,NA
294,2,0.66666666666667,0.54,152622.41566921,49696.468642967,101662.23725538,0,0,213
295,2,0.33333333333333,0.415,448051.11821086,243190.75144509,408862.97376093,1,1,1
296,2,0.66666666666667,0.415,269040.92071611,96509.174311927,175471.22602168,1,1,121
297,2,1,0.25,209447.4863116,67562.620423892,132445.70349386,14,14,169
298,2,0.66666666666667,0.375,199677.26625534,147724.71910112,240962.19931271,18,18,18
299,2,1,0.29,580303.44827586,328174.72698908,478090.90909091,15,15,15
300,2,1,0.54,281795.0435365,118445.94594595,245174.82517483,4,4,4
301,2,0.66666666666667,0.25,NA,NA,NA,NA,NA,NA
302,2,0.66666666666667,0.54,68188.006482982,63978.102189781,72462.96934206,41,41,42
303,2,1,0.665,269519.53875721,127878.41945289,191149.47751022,26,26,26
304,2,1,0.25,212377.58707723,178953.63675032,203639.88383349,33,33,33
305,2,1,0.375,166358.24436536,108825.65959648,171722.44897959,10,10,10
306,2,0.66666666666667,0.875,NA,NA,NA,NA,NA,NA
