N,SLP,CLS,LABEL
1,2104.87,Facebook
2,2035.1,Facebook
3,2084.5,Facebook
4,-11481.6,Facebook
5,1209.25,Facebook
6,1806.4,Facebook
7,1995.38,Facebook
8,812.393,Facebook
9,2208.72,Facebook
10,785.966,Facebook
11,2020.82,Facebook
12,1812.6,Facebook
13,2177.15,Facebook
14,1879.56,Facebook
15,2049.95,Facebook
16,1455.85,Facebook
17,1713.49,Facebook
18,1933.08,Facebook
19,771.452,Facebook
20,1929.61,Facebook
21,-184962,Other,alibaba.com
22,-2079.09,Other,amazon.com
23,-10023.7,Other,bbc.co.uk
24,-125829,Other,blogger.com
25,-7687.76,Other,battle.net
26,-224355,Other,bankofamerica.com
27,-10459.2,Other,booking.com
28,-10746.8,Other,cnn.com
29,-2957.3,Other,craigslist.com
30,-5252.81,Other,deviantart.com
31,-15663.2,Other,digg.com
32,-30948.8,Other,ebay.com
33,-14271.6,Other,ehow.com
34,-5897.48,Other,espn.go.com
35,-11725.4,Other,gamespot.com
36,-94369.5,Other,mail.google.com
37,-173401,Other,maps.google.com
38,-14407.9,Other,google.com
39,-6368.03,Other,translate.google.com
40,-27841.5,Other,ign.com
41,-49924,Other,imdb.com
42,-2029.83,Other,netflix.com
43,-20000.6,Other,nih.gov
44,-20753.7,Other,nytimes.com
45,-718.349,Other,paypal.com
46,-23679.7,Other,pch.com
47,-76777.8,Other,pogo.com
48,-15087.8,Other,stackoverflow.com
49,-735.083,Other,thesaurus.com
50,-25062.3,Other,tripadvisor.com
51,-900.665,Other,twitter.com
52,-30940.4,Other,w3schools.com
53,-4440.01,Other,walmart.com
54,-7030.02,Other,webmd.com
55,-10468,Other,en.wikipedia.org
56,-1113.46,Other,yahoo.com
57,-6228.71,Other,answers.yahoo.com
58,-13952.1,Other,finance.yahoo.com
59,-12097.8,Other,youtube.com
60,-470.731,Other,sports.yahoo.com
